Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Transect length surveyed *,Width *,Fish size bin *,Observer emails *,Fish name *,Size *,Count *
d041,Managed Access,2018,3,12,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus puellus,25,1
d041,Managed Access,2018,3,12,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Cephalopholis miniata,25,1
d010,Managed Access,2018,3,12,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectorhinchus chaetodonoides,40,2
d010,Managed Access,2018,3,12,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus lutjanus,30,1
d010,Managed Access,2018,3,12,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio pisang,15,2000
d010,Managed Access,2018,3,12,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus olivaceus,27,3
d010,Managed Access,2018,3,12,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus vulpinus,25,1
d010,Managed Access,2018,3,12,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus guttatus,40,4
d006,Reserve,2018,3,17,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,60,10
d019,Managed Access,2018,3,17,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectorhinchus chaetodonoides,54,5
d022,Reserve,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,25,5
d019,Managed Access,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus gibbus,55,30
d019,Managed Access,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio tile,10,100
d019,Managed Access,2018,3,19,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,50,30
m015,Reserve,2018,3,8,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio pisang,15,1200
d002,Managed Access,2018,3,19,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus,10,10
d002,Managed Access,2018,3,19,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso,25,15
d002,Managed Access,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectorhinchus polytaenia,35,1
d002,Managed Access,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso,27,5
d002,Managed Access,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus javus,27,2
d002,Managed Access,2018,3,19,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso,20,150
d002,Managed Access,2018,3,19,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso,27,50
d002,Managed Access,2018,3,19,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,35,1
d004,Managed Access,2018,3,20,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus olivaceus,65,1
d004,Managed Access,2018,3,20,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio pisang,15,50
d004,Managed Access,2018,3,20,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Carcharhinus amblyrhynchos,170,2
m015,Reserve,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus biguttatus,15,8
d024,Reserve,2018,3,20,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,25,10
d024,Reserve,2018,3,20,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus puellus,25,1
l019,Managed Access,2018,3,20,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus vulpinus,27,2
l019,Managed Access,2018,3,20,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,27,30
l019,Managed Access,2018,3,20,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio cuning,20,200
l019,Managed Access,2018,3,20,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Bolbometopon muricatum,90,4
l019,Managed Access,2018,3,20,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,50,10
d048,Reserve,2018,3,20,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caranx ignobilis,100,3
d027,Reserve,2018,3,23,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,28,20
d027,Reserve,2018,3,23,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus puellus,25,2
d027,Reserve,2018,3,23,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,35,10
d007,Reserve,2018,3,23,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectorhinchus polytaenia,26,1
m016,Reserve,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Monotaxis heterodon,20,2
m016,Reserve,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio pisang,15,250
m005,Reserve,2018,3,10,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,30,1
m005,Reserve,2018,3,10,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,25,4
d026,Managed Access,2018,3,12,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Elagatis bipinnulata,30,2
d005,Managed Access,2018,3,12,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectropomus areolatus,35,1
d005,Managed Access,2018,3,12,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Sphyraena barracuda,35,8
d025,Managed Access,2018,3,19,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,20,4
d025,Managed Access,2018,3,19,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus globiceps,30,1
d025,Managed Access,2018,3,19,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,30,1
d025,Managed Access,2018,3,19,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus harak,30,1
d025,Managed Access,2018,3,19,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Variola louti,40,1
d025,Managed Access,2018,3,19,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso hexacanthus,25,180
d046,Reserve,2018,3,19,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,30,1
d046,Reserve,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Chlorurus sordidus,20,2
d037,Managed Access,2018,3,20,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus decussatus,25,2
m023,Managed Access,2018,3,7,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Cephalopholis urodeta,23,2
m023,Managed Access,2018,3,7,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus corallinus,20,2
m023,Managed Access,2018,3,7,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Variola louti,55,1
m008,Reserve,2018,3,8,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso hexacanthus,25,10
m013,Managed Access,2018,3,7,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Cephalopholis urodeta,26,4
m013,Managed Access,2018,3,7,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,24,6
m008,Reserve,2018,3,8,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus doliatus,25,1
m013,Managed Access,2018,3,7,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus tricolor,34,2
m013,Managed Access,2018,3,7,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus virgatus,20,2
m022,Managed Access,2018,3,8,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,25,1
m022,Managed Access,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus olivaceus,45,2
m022,Managed Access,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus olivaceus,35,1
m022,Managed Access,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor niger,37,4
m022,Managed Access,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,27,2
m022,Managed Access,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Cephalopholis miniata,23,1
m017,Reserve,2018,3,10,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,20,11
m017,Reserve,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus fulviflamma,15,2
m008,Reserve,2018,3,8,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Chlorurus sordidus,30,2
m020,Reserve,2018,3,10,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus gibbus,23,2
m020,Reserve,2018,3,10,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus gibbus,25,3
m020,Reserve,2018,3,10,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectropomus areolatus,28,1
m020,Reserve,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus bohar,40,1
m020,Reserve,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus gibbus,23,4
m020,Reserve,2018,3,10,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectorhinchus lineatus,40,2
m008,Reserve,2018,3,8,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus decussatus,20,1
d023,Managed Access,2018,3,10,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus corallinus,18,2
m008,Reserve,2018,3,8,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Monotaxis heterodon,25,4
d023,Managed Access,2018,3,10,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Monotaxis heterodon,42,5
d023,Managed Access,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso annulatus,40,8
d023,Managed Access,2018,3,10,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectropomus leopardus,25,3
m008,Reserve,2018,3,8,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Ctenochaetus striatus,20,2
d028,Managed Access,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,15,35
d028,Managed Access,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectropomus laevis,30,1
d028,Managed Access,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus kasmira,12,28
d028,Managed Access,2018,3,10,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,35,2
d028,Managed Access,2018,3,10,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus olivaceus,37,1
m002,Reserve,2018,3,7,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio teres,15,120
d038,Reserve,2018,3,17,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus kasmira,18,1
m021,Managed Access,2018,3,8,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus gibbus,27,5
m021,Managed Access,2018,3,8,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio tile,15,600
m021,Managed Access,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio tile,15,5000
m021,Managed Access,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus corallinus,25,5
m021,Managed Access,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso,28,10
m004,Managed Access,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Cephalopholis urodeta,22,2
m004,Managed Access,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus vulpinus,27,3
m004,Managed Access,2018,3,10,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus uspi,25,3
m019,Reserve,2018,3,10,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Rastrelliger kanagurta,20,2000
d041,Managed Access,2018,3,12,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,27,3
d041,Managed Access,2018,3,12,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,27,7
d010,Managed Access,2018,3,12,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio pisang,15,1000
d006,Reserve,2018,3,17,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,25,40
d006,Reserve,2018,3,17,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso,42,23
m015,Reserve,2018,3,8,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio cuning,20,330
d019,Managed Access,2018,3,17,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus bohar,50,5
d019,Managed Access,2018,3,17,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus javus,30,10
m015,Reserve,2018,3,8,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus bohar,40,1
d019,Managed Access,2018,3,17,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio cuning,20,150
d019,Managed Access,2018,3,17,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus puellus,30,10
d022,Reserve,2018,3,19,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Plectropomus areolatus,65,1
m015,Reserve,2018,3,8,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Naso hexacanthus,30,35
d022,Reserve,2018,3,19,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,25,30
d022,Reserve,2018,3,19,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus,35,1
d022,Reserve,2018,3,19,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus puellus,25,2
d019,Managed Access,2018,3,19,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,45,30
d019,Managed Access,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,45,30
d019,Managed Access,2018,3,19,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus gibbus,40,10
d019,Managed Access,2018,3,19,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,55,2
d002,Managed Access,2018,3,19,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,25,17
d002,Managed Access,2018,3,19,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus vulpinus,25,8
d002,Managed Access,2018,3,19,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,22,13
d004,Managed Access,2018,3,20,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caranx papuensis,75,1
d004,Managed Access,2018,3,20,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Macolor macularis,35,1
d024,Reserve,2018,3,20,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio pisang,15,200
d024,Reserve,2018,3,20,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,30,15
m015,Reserve,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,22,20
m015,Reserve,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio cuning,20,260
l019,Managed Access,2018,3,20,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caranx melampygus,60,1
d027,Reserve,2018,3,23,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus,20,10
m016,Reserve,2018,3,8,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Bolbometopon muricatum,80,2
d027,Reserve,2018,3,23,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Eucrossorhinus dasypogon,120,1
m016,Reserve,2018,3,8,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio cuning,25,100
d007,Reserve,2018,3,23,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Siganus vulpinus,18,2
d007,Reserve,2018,3,23,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,25,6
d007,Reserve,2018,3,23,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus semicinctus,20,1
m016,Reserve,2018,3,8,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Cheilinus undulatus,40,1
m016,Reserve,2018,3,8,10,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,25,80
m016,Reserve,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio tile,20,230
